condition,outcome,ate
Corporate reliance,behavior_mean,1.188
Corporate reliance,belief_post,2.312
Corporate reliance,concern_mean,1.625
Corporate reliance,distrust_post,-3.975
Corporate reliance,donation_ams,0.279
Corporate reliance,funding_perceptions,1.600
Corporate reliance,inst_trust_mean,2.337
Corporate reliance,newsletter_signup,0.0209
Corporate reliance,policy_general,2.475
Corporate reliance,policy_role_mean,2.425
Corporate reliance,policy_specific_mean,1.863
Corporate reliance,trust_multidimensional,3.038
Corporate reliance,trust_post,3.587
Social justice,behavior_mean,0.287
Social justice,belief_post,0.225
Social justice,concern_mean,4.188
Social justice,distrust_post,-1.425
Social justice,donation_ams,-0.071
Social justice,funding_perceptions,2.062
Social justice,inst_trust_mean,-1.462
Social justice,newsletter_signup,-0.0040
Social justice,policy_general,1.775
Social justice,policy_role_mean,1.762
Social justice,policy_specific_mean,2.875
Social justice,trust_multidimensional,-0.775
Social justice,trust_post,1.150
Interview Prof. Maraun,behavior_mean,0.738
Interview Prof. Maraun,belief_post,1.288
Interview Prof. Maraun,concern_mean,1.125
Interview Prof. Maraun,distrust_post,-3.050
Interview Prof. Maraun,donation_ams,0.164
Interview Prof. Maraun,funding_perceptions,0.963
Interview Prof. Maraun,inst_trust_mean,1.562
Interview Prof. Maraun,newsletter_signup,0.0151
Interview Prof. Maraun,policy_general,0.900
Interview Prof. Maraun,policy_role_mean,0.650
Interview Prof. Maraun,policy_specific_mean,1.312
Interview Prof. Maraun,trust_multidimensional,3.250
Interview Prof. Maraun,trust_post,3.263
Funding,behavior_mean,-0.425
Funding,belief_post,-0.475
Funding,concern_mean,-1.250
Funding,distrust_post,-4.625
Funding,donation_ams,0.129
Funding,funding_perceptions,-1.625
Funding,inst_trust_mean,-0.287
Funding,newsletter_signup,0.0093
Funding,policy_general,-0.713
Funding,policy_role_mean,-1.850
Funding,policy_specific_mean,-0.100
Funding,trust_multidimensional,0.750
Funding,trust_post,1.350
Oil industry misinformation,behavior_mean,2.200
Oil industry misinformation,belief_post,4.312
Oil industry misinformation,concern_mean,4.975
Oil industry misinformation,distrust_post,-6.787
Oil industry misinformation,donation_ams,0.093
Oil industry misinformation,funding_perceptions,1.688
Oil industry misinformation,inst_trust_mean,-0.163
Oil industry misinformation,newsletter_signup,0.0240
Oil industry misinformation,policy_general,4.537
Oil industry misinformation,policy_role_mean,3.188
Oil industry misinformation,policy_specific_mean,3.362
Oil industry misinformation,trust_multidimensional,2.975
Oil industry misinformation,trust_post,5.125
Measurement & modeling (1),behavior_mean,0.450
Measurement & modeling (1),belief_post,0.875
Measurement & modeling (1),concern_mean,0.662
Measurement & modeling (1),distrust_post,-1.538
Measurement & modeling (1),donation_ams,0.050
Measurement & modeling (1),funding_perceptions,0.500
Measurement & modeling (1),inst_trust_mean,0.825
Measurement & modeling (1),newsletter_signup,0.0059
Measurement & modeling (1),policy_general,0.662
Measurement & modeling (1),policy_role_mean,0.787
Measurement & modeling (1),policy_specific_mean,0.838
Measurement & modeling (1),trust_multidimensional,1.625
Measurement & modeling (1),trust_post,1.613
Former skeptics,behavior_mean,2.413
Former skeptics,belief_post,4.037
Former skeptics,concern_mean,3.188
Former skeptics,distrust_post,-5.513
Former skeptics,donation_ams,0.314
Former skeptics,funding_perceptions,2.188
