
study            broockman
records          1,376
answers used     1,274
cells scored     42
arms             172
------------------------------------------------------------
OUR structured r +0.2501
gpt-4 published  +0.1999
human experts    +0.2546
------------------------------------------------------------
CONTAMINATION DIAGNOSTICS   units: rescaled 0-1 outcome
  median |pred - truth|   0.0622
  arms within 0.25         172/172
  arms within 0.05         63/172
  mean |pred|             0.0913
  mean |truth|            0.0489
  implied slope           1.866   (1.0 = same spread; >1 = we overshoot)
------------------------------------------------------------
per cell    r      arms  cell_id
  +0.9965     3   broockman_oppose_allowing_people_to_carry_concealed_
  +0.9754     3   broockman_oppose_right_to_work_laws__na
  +0.8650     4   broockman_oppose_allowing_medicare_to_negotiate_drug
  +0.8625     3   broockman_oppose_increasing_funding_for_renewable_en
  +0.8568     4   broockman_oppose_lowering_the_medicare_eligibility_a
  +0.8325     3   broockman_oppose_allowing_all_americans_to_vote_by_m
  +0.8266     5   broockman_oppose_increasing_funding_for_border_secur
  +0.8255     4   broockman_support_requiring_background_checks_for_gu
  +0.7686     3   broockman_support_right_to_work_laws__na
  +0.7256     3   broockman_support_lowering_the_medicare_eligibility_
  +0.7059     7   broockman_support_making_abortion_legal_in_all_cases
  +0.6506     4   broockman_oppose_requiring_background_checks_for_gun
  +0.6098     3   broockman_oppose_requiring_transgender_individuals_t
  +0.6090     5   broockman_support_increasing_the_federal_minimum_wag
  +0.5989     7   broockman_oppose_making_abortion_legal_in_all_cases_
  +0.5881     3   broockman_support_increasing_funding_for_renewable_e
  +0.5737     6   broockman_support_cancelling_student_loan_debt__na
  +0.5487     4   broockman_support_legalizing_marijuana__na
  +0.4757     5   broockman_oppose_increasing_legal_immigration__na
  +0.3889     4   broockman_support_increasing_taxes_on_high_earning_a
  +0.3503     3   broockman_oppose_increasing_taxes_on_high_earning_am
  +0.2100     4   broockman_oppose_increasing_defense_spending__na
  +0.1866     5   broockman_oppose_increasing_the_federal_minimum_wage
  +0.1599     5   broockman_support_reducing_police_funding_in_order_t
  +0.0862     3   broockman_oppose_requiring_transgender_athletes_to_c
  +0.0836     5   broockman_oppose_legalizing_marijuana__na
  +0.0626     4   broockman_support_allowing_all_americans_to_vote_by_
  +0.0346     3   broockman_support_requiring_transgender_athletes_to_
  +0.0252     5   broockman_support_increasing_defense_spending__na
  -0.0525     3   broockman_oppose_banning_cash_bail__na
  -0.0877     4   broockman_support_making_it_easier_to_drill_for_oil_
  -0.1171     4   broockman_support_increasing_legal_immigration__na
  -0.1586     3   broockman_support_allowing_people_to_carry_concealed
  -0.1941     3   broockman_support_banning_cash_bail__na
  -0.2611     5   broockman_support_increasing_funding_for_border_secu
  -0.4823     5   broockman_oppose_reducing_police_funding_in_order_to
  -0.5360     3   broockman_support_requiring_transgender_individuals_
  -0.5447     5   broockman_oppose_cancelling_student_loan_debt__na
  -0.5478     3   broockman_support_allowing_medicare_to_negotiate_dru
  -0.5596     4   broockman_oppose_making_it_easier_to_drill_for_oil_a
  -0.5877     5   broockman_oppose_the_dream_act__na
  -0.8499     5   broockman_support_the_dream_act__na

predictions.csv  172 rows
