
study            broockman
records          336
answers used     1,349
cells scored     42
arms             172
------------------------------------------------------------
OUR structured r +0.4292
gpt-4 published  +0.1999
human experts    +0.2546
------------------------------------------------------------
CONTAMINATION DIAGNOSTICS   units: rescaled 0-1 outcome
  median |pred - truth|   0.0304
  arms within 0.25         170/172
  arms within 0.05         130/172
  mean |pred|             0.0510
  mean |truth|            0.0489
  implied slope           1.041   (1.0 = same spread; >1 = we overshoot)
------------------------------------------------------------
per cell    r      arms  cell_id
  +0.9997     3   broockman_oppose_right_to_work_laws__na
  +0.9992     4   broockman_oppose_allowing_medicare_to_negotiate_drug
  +0.9807     3   broockman_oppose_banning_cash_bail__na
  +0.9772     3   broockman_support_right_to_work_laws__na
  +0.9679     3   broockman_oppose_allowing_all_americans_to_vote_by_m
  +0.9675     5   broockman_oppose_increasing_funding_for_border_secur
  +0.9425     4   broockman_oppose_lowering_the_medicare_eligibility_a
  +0.9175     3   broockman_support_increasing_funding_for_renewable_e
  +0.9150     3   broockman_oppose_allowing_people_to_carry_concealed_
  +0.9121     4   broockman_oppose_increasing_defense_spending__na
  +0.8765     3   broockman_oppose_increasing_taxes_on_high_earning_am
  +0.8741     4   broockman_support_requiring_background_checks_for_gu
  +0.8641     3   broockman_oppose_requiring_transgender_individuals_t
  +0.8610     4   broockman_support_making_it_easier_to_drill_for_oil_
  +0.7604     5   broockman_oppose_increasing_the_federal_minimum_wage
  +0.7429     5   broockman_oppose_legalizing_marijuana__na
  +0.7392     5   broockman_support_increasing_funding_for_border_secu
  +0.7113     5   broockman_support_reducing_police_funding_in_order_t
  +0.6690     3   broockman_oppose_increasing_funding_for_renewable_en
  +0.6232     5   broockman_oppose_reducing_police_funding_in_order_to
  +0.5684     3   broockman_support_lowering_the_medicare_eligibility_
  +0.5336     7   broockman_support_making_abortion_legal_in_all_cases
  +0.5136     4   broockman_oppose_requiring_background_checks_for_gun
  +0.5129     4   broockman_support_legalizing_marijuana__na
  +0.5058     5   broockman_oppose_the_dream_act__na
  +0.2706     5   broockman_oppose_increasing_legal_immigration__na
  +0.2695     5   broockman_support_the_dream_act__na
  +0.2552     5   broockman_support_increasing_defense_spending__na
  +0.1435     3   broockman_support_allowing_people_to_carry_concealed
  +0.0825     3   broockman_support_banning_cash_bail__na
  +0.0464     6   broockman_support_cancelling_student_loan_debt__na
  +0.0398     5   broockman_oppose_cancelling_student_loan_debt__na
  +0.0208     4   broockman_support_allowing_all_americans_to_vote_by_
  +0.0207     3   broockman_support_allowing_medicare_to_negotiate_dru
  -0.0067     7   broockman_oppose_making_abortion_legal_in_all_cases_
  -0.1070     3   broockman_oppose_requiring_transgender_athletes_to_c
  -0.1723     4   broockman_oppose_making_it_easier_to_drill_for_oil_a
  -0.2732     5   broockman_support_increasing_the_federal_minimum_wag
  -0.3536     3   broockman_support_requiring_transgender_athletes_to_
  -0.4821     4   broockman_support_increasing_legal_immigration__na
  -0.6649     4   broockman_support_increasing_taxes_on_high_earning_a
  -0.9996     3   broockman_support_requiring_transgender_individuals_

predictions.csv  172 rows
