
study            broockman
records          84
answers used     329
cells scored     41
arms             172
------------------------------------------------------------
OUR structured r +0.4400
gpt-4 published  +0.1999
human experts    +0.2546
------------------------------------------------------------
CONTAMINATION DIAGNOSTICS   units: rescaled 0-1 outcome
  median |pred - truth|   0.0362
  arms within 0.25         170/172
  arms within 0.05         115/172
  mean |pred|             0.0594
  mean |truth|            0.0489
  implied slope           1.213   (1.0 = same spread; >1 = we overshoot)
------------------------------------------------------------
per cell    r      arms  cell_id
  +1.0000     3   broockman_oppose_banning_cash_bail__na
  +0.9976     3   broockman_support_right_to_work_laws__na
  +0.9956     3   broockman_oppose_allowing_all_americans_to_vote_by_m
  +0.9797     4   broockman_oppose_allowing_medicare_to_negotiate_drug
  +0.9719     3   broockman_oppose_requiring_transgender_individuals_t
  +0.9529     3   broockman_support_requiring_transgender_individuals_
  +0.9238     3   broockman_oppose_allowing_people_to_carry_concealed_
  +0.9198     3   broockman_support_lowering_the_medicare_eligibility_
  +0.8872     4   broockman_oppose_lowering_the_medicare_eligibility_a
  +0.8864     5   broockman_oppose_legalizing_marijuana__na
  +0.8750     3   broockman_oppose_right_to_work_laws__na
  +0.8563     5   broockman_support_increasing_funding_for_border_secu
  +0.8530     6   broockman_support_cancelling_student_loan_debt__na
  +0.8266     5   broockman_oppose_reducing_police_funding_in_order_to
  +0.8252     5   broockman_oppose_increasing_funding_for_border_secur
  +0.8219     4   broockman_support_making_it_easier_to_drill_for_oil_
  +0.7603     5   broockman_support_reducing_police_funding_in_order_t
  +0.7334     3   broockman_support_increasing_funding_for_renewable_e
  +0.7199     3   broockman_oppose_increasing_taxes_on_high_earning_am
  +0.6907     4   broockman_support_legalizing_marijuana__na
  +0.6645     4   broockman_support_requiring_background_checks_for_gu
  +0.5157     4   broockman_oppose_increasing_defense_spending__na
  +0.4951     4   broockman_oppose_requiring_background_checks_for_gun
  +0.4940     7   broockman_support_making_abortion_legal_in_all_cases
  +0.4912     5   broockman_oppose_increasing_the_federal_minimum_wage
  +0.4555     4   broockman_support_allowing_all_americans_to_vote_by_
  +0.4246     7   broockman_oppose_making_abortion_legal_in_all_cases_
  +0.3933     5   broockman_oppose_the_dream_act__na
  +0.2489     3   broockman_support_requiring_transgender_athletes_to_
  +0.0913     3   broockman_support_allowing_people_to_carry_concealed
  +0.0123     4   broockman_support_increasing_legal_immigration__na
  -0.0087     5   broockman_support_the_dream_act__na
  -0.0431     5   broockman_oppose_increasing_legal_immigration__na
  -0.1444     5   broockman_oppose_cancelling_student_loan_debt__na
  -0.1596     5   broockman_support_increasing_defense_spending__na
  -0.2475     5   broockman_support_increasing_the_federal_minimum_wag
  -0.3767     3   broockman_support_allowing_medicare_to_negotiate_dru
  -0.3905     4   broockman_support_increasing_taxes_on_high_earning_a
  -0.5845     3   broockman_support_banning_cash_bail__na
  -0.8598     3   broockman_oppose_requiring_transgender_athletes_to_c
  -0.9089     4   broockman_oppose_making_it_easier_to_drill_for_oil_a

predictions.csv  172 rows
