
study            broockman
records          336
answers used     1,373
cells scored     42
arms             172
------------------------------------------------------------
OUR structured r +0.3311
gpt-4 published  +0.1999
human experts    +0.2546
------------------------------------------------------------
CONTAMINATION DIAGNOSTICS   units: rescaled 0-1 outcome
  median |pred - truth|   0.0290
  arms within 0.25         170/172
  arms within 0.05         132/172
  mean |pred|             0.0498
  mean |truth|            0.0489
  implied slope           1.018   (1.0 = same spread; >1 = we overshoot)
------------------------------------------------------------
per cell    r      arms  cell_id
  +1.0000     3   broockman_oppose_allowing_all_americans_to_vote_by_m
  +0.9999     3   broockman_oppose_increasing_taxes_on_high_earning_am
  +0.9993     3   broockman_oppose_allowing_people_to_carry_concealed_
  +0.9970     3   broockman_oppose_right_to_work_laws__na
  +0.9826     5   broockman_support_increasing_funding_for_border_secu
  +0.9649     3   broockman_support_right_to_work_laws__na
  +0.9466     4   broockman_support_making_it_easier_to_drill_for_oil_
  +0.9464     4   broockman_oppose_making_it_easier_to_drill_for_oil_a
  +0.9463     5   broockman_oppose_increasing_funding_for_border_secur
  +0.9400     4   broockman_oppose_increasing_defense_spending__na
  +0.9392     5   broockman_oppose_reducing_police_funding_in_order_to
  +0.9198     4   broockman_oppose_allowing_medicare_to_negotiate_drug
  +0.8607     4   broockman_oppose_lowering_the_medicare_eligibility_a
  +0.8257     3   broockman_oppose_banning_cash_bail__na
  +0.7576     5   broockman_oppose_increasing_the_federal_minimum_wage
  +0.7380     3   broockman_oppose_increasing_funding_for_renewable_en
  +0.7150     5   broockman_oppose_legalizing_marijuana__na
  +0.6529     5   broockman_oppose_the_dream_act__na
  +0.6300     5   broockman_support_reducing_police_funding_in_order_t
  +0.6227     3   broockman_oppose_requiring_transgender_individuals_t
  +0.6072     3   broockman_support_lowering_the_medicare_eligibility_
  +0.5488     4   broockman_oppose_requiring_background_checks_for_gun
  +0.4953     7   broockman_support_making_abortion_legal_in_all_cases
  +0.4735     5   broockman_support_increasing_defense_spending__na
  +0.3138     6   broockman_support_cancelling_student_loan_debt__na
  +0.2893     5   broockman_support_the_dream_act__na
  +0.1095     7   broockman_oppose_making_abortion_legal_in_all_cases_
  +0.0539     3   broockman_support_allowing_people_to_carry_concealed
  +0.0401     4   broockman_support_allowing_all_americans_to_vote_by_
  +0.0267     5   broockman_oppose_increasing_legal_immigration__na
  -0.1160     5   broockman_oppose_cancelling_student_loan_debt__na
  -0.1194     4   broockman_support_legalizing_marijuana__na
  -0.3081     3   broockman_support_requiring_transgender_athletes_to_
  -0.3207     3   broockman_support_allowing_medicare_to_negotiate_dru
  -0.3629     4   broockman_support_increasing_legal_immigration__na
  -0.4720     4   broockman_support_increasing_taxes_on_high_earning_a
  -0.5382     3   broockman_oppose_requiring_transgender_athletes_to_c
  -0.7574     5   broockman_support_increasing_the_federal_minimum_wag
  -0.7603     4   broockman_support_requiring_background_checks_for_gu
  -0.8095     3   broockman_support_requiring_transgender_individuals_
  -0.8929     3   broockman_support_increasing_funding_for_renewable_e
  -0.9792     3   broockman_support_banning_cash_bail__na

predictions.csv  172 rows
