
study            broockman
records          84
answers used     344
cells scored     42
arms             172
------------------------------------------------------------
OUR structured r +0.2575
gpt-4 published  +0.1999
human experts    +0.2546
------------------------------------------------------------
CONTAMINATION DIAGNOSTICS   units: rescaled 0-1 outcome
  median |pred - truth|   0.0231
  arms within 0.25         170/172
  arms within 0.05         126/172
  mean |pred|             0.0287
  mean |truth|            0.0489
  implied slope           0.587   (1.0 = same spread; >1 = we overshoot)
------------------------------------------------------------
per cell    r      arms  cell_id
  +0.9998     3   broockman_oppose_requiring_transgender_individuals_t
  +0.9929     3   broockman_oppose_banning_cash_bail__na
  +0.9850     3   broockman_support_increasing_funding_for_renewable_e
  +0.9783     3   broockman_oppose_allowing_all_americans_to_vote_by_m
  +0.9675     4   broockman_oppose_allowing_medicare_to_negotiate_drug
  +0.9423     4   broockman_oppose_lowering_the_medicare_eligibility_a
  +0.9300     3   broockman_oppose_allowing_people_to_carry_concealed_
  +0.9098     3   broockman_oppose_right_to_work_laws__na
  +0.8993     4   broockman_support_making_it_easier_to_drill_for_oil_
  +0.8800     3   broockman_oppose_increasing_funding_for_renewable_en
  +0.8295     3   broockman_oppose_increasing_taxes_on_high_earning_am
  +0.7986     5   broockman_oppose_increasing_funding_for_border_secur
  +0.7317     4   broockman_oppose_increasing_defense_spending__na
  +0.6798     3   broockman_support_allowing_people_to_carry_concealed
  +0.6601     4   broockman_oppose_requiring_background_checks_for_gun
  +0.6310     6   broockman_support_cancelling_student_loan_debt__na
  +0.5977     7   broockman_support_making_abortion_legal_in_all_cases
  +0.5864     4   broockman_support_allowing_all_americans_to_vote_by_
  +0.5795     5   broockman_support_increasing_funding_for_border_secu
  +0.4973     4   broockman_oppose_making_it_easier_to_drill_for_oil_a
  +0.4344     5   broockman_oppose_legalizing_marijuana__na
  +0.2881     7   broockman_oppose_making_abortion_legal_in_all_cases_
  +0.2386     5   broockman_support_increasing_defense_spending__na
  +0.1286     5   broockman_oppose_increasing_legal_immigration__na
  +0.0848     5   broockman_oppose_reducing_police_funding_in_order_to
  +0.0732     5   broockman_oppose_the_dream_act__na
  +0.0628     5   broockman_support_the_dream_act__na
  +0.0282     5   broockman_oppose_increasing_the_federal_minimum_wage
  -0.1468     4   broockman_support_legalizing_marijuana__na
  -0.1768     4   broockman_support_increasing_legal_immigration__na
  -0.2083     3   broockman_support_allowing_medicare_to_negotiate_dru
  -0.2097     3   broockman_support_lowering_the_medicare_eligibility_
  -0.2245     5   broockman_support_reducing_police_funding_in_order_t
  -0.2453     3   broockman_support_banning_cash_bail__na
  -0.2515     5   broockman_oppose_cancelling_student_loan_debt__na
  -0.3800     3   broockman_support_requiring_transgender_athletes_to_
  -0.4667     4   broockman_support_increasing_taxes_on_high_earning_a
  -0.6454     5   broockman_support_increasing_the_federal_minimum_wag
  -0.8793     3   broockman_support_right_to_work_laws__na
  -0.9129     4   broockman_support_requiring_background_checks_for_gu
  -0.9235     3   broockman_support_requiring_transgender_individuals_
  -0.9288     3   broockman_oppose_requiring_transgender_athletes_to_c

predictions.csv  172 rows
