
study            broockman
records          336
answers used     1,376
cells scored     42
arms             172
------------------------------------------------------------
OUR structured r +0.3399
gpt-4 published  +0.1999
human experts    +0.2546
------------------------------------------------------------
CONTAMINATION DIAGNOSTICS   units: rescaled 0-1 outcome
  median |pred - truth|   0.0274
  arms within 0.25         170/172
  arms within 0.05         138/172
  mean |pred|             0.0456
  mean |truth|            0.0489
  implied slope           0.931   (1.0 = same spread; >1 = we overshoot)
------------------------------------------------------------
per cell    r      arms  cell_id
  +0.9983     3   broockman_oppose_allowing_all_americans_to_vote_by_m
  +0.9974     3   broockman_oppose_right_to_work_laws__na
  +0.9946     3   broockman_oppose_increasing_taxes_on_high_earning_am
  +0.9942     4   broockman_oppose_allowing_medicare_to_negotiate_drug
  +0.9932     4   broockman_support_making_it_easier_to_drill_for_oil_
  +0.9877     3   broockman_oppose_allowing_people_to_carry_concealed_
  +0.9853     5   broockman_oppose_increasing_funding_for_border_secur
  +0.9805     5   broockman_support_increasing_funding_for_border_secu
  +0.9633     4   broockman_oppose_lowering_the_medicare_eligibility_a
  +0.9452     5   broockman_oppose_reducing_police_funding_in_order_to
  +0.9058     4   broockman_oppose_making_it_easier_to_drill_for_oil_a
  +0.8815     4   broockman_oppose_increasing_defense_spending__na
  +0.8418     5   broockman_oppose_increasing_the_federal_minimum_wage
  +0.8087     5   broockman_oppose_legalizing_marijuana__na
  +0.7366     3   broockman_support_lowering_the_medicare_eligibility_
  +0.7144     4   broockman_oppose_requiring_background_checks_for_gun
  +0.7062     4   broockman_support_allowing_all_americans_to_vote_by_
  +0.6830     3   broockman_oppose_requiring_transgender_individuals_t
  +0.6595     3   broockman_oppose_banning_cash_bail__na
  +0.6411     5   broockman_support_reducing_police_funding_in_order_t
  +0.6343     7   broockman_support_making_abortion_legal_in_all_cases
  +0.5266     3   broockman_oppose_increasing_funding_for_renewable_en
  +0.5059     5   broockman_oppose_the_dream_act__na
  +0.4533     5   broockman_support_the_dream_act__na
  +0.3017     6   broockman_support_cancelling_student_loan_debt__na
  +0.2310     3   broockman_support_right_to_work_laws__na
  +0.2089     7   broockman_oppose_making_abortion_legal_in_all_cases_
  +0.0698     5   broockman_support_increasing_defense_spending__na
  +0.0672     3   broockman_support_allowing_people_to_carry_concealed
  -0.1164     5   broockman_oppose_increasing_legal_immigration__na
  -0.1420     5   broockman_oppose_cancelling_student_loan_debt__na
  -0.1515     4   broockman_support_increasing_taxes_on_high_earning_a
  -0.2126     3   broockman_oppose_requiring_transgender_athletes_to_c
  -0.2638     3   broockman_support_allowing_medicare_to_negotiate_dru
  -0.3480     3   broockman_support_requiring_transgender_athletes_to_
  -0.4334     4   broockman_support_increasing_legal_immigration__na
  -0.4710     4   broockman_support_legalizing_marijuana__na
  -0.6251     5   broockman_support_increasing_the_federal_minimum_wag
  -0.7739     3   broockman_support_increasing_funding_for_renewable_e
  -0.8242     3   broockman_support_requiring_transgender_individuals_
  -0.8595     4   broockman_support_requiring_background_checks_for_gu
  -0.9190     3   broockman_support_banning_cash_bail__na

predictions.csv  172 rows
