
study            broockman
records          1,376
answers used     1,376
cells scored     42
arms             172
------------------------------------------------------------
OUR structured r +0.1450
gpt-4 published  +0.1999
human experts    +0.2546
------------------------------------------------------------
CONTAMINATION DIAGNOSTICS   units: rescaled 0-1 outcome
  median |pred - truth|   0.0258
  arms within 0.25         170/172
  arms within 0.05         123/172
  mean |pred|             0.0274
  mean |truth|            0.0489
  implied slope           0.559   (1.0 = same spread; >1 = we overshoot)
------------------------------------------------------------
per cell    r      arms  cell_id
  +0.9998     3   broockman_oppose_increasing_taxes_on_high_earning_am
  +0.9991     3   broockman_oppose_right_to_work_laws__na
  +0.9847     4   broockman_oppose_allowing_medicare_to_negotiate_drug
  +0.9685     3   broockman_oppose_requiring_transgender_individuals_t
  +0.9538     3   broockman_oppose_allowing_all_americans_to_vote_by_m
  +0.9533     3   broockman_oppose_allowing_people_to_carry_concealed_
  +0.9353     4   broockman_oppose_lowering_the_medicare_eligibility_a
  +0.9150     3   broockman_support_banning_cash_bail__na
  +0.9115     3   broockman_support_lowering_the_medicare_eligibility_
  +0.8350     4   broockman_support_allowing_all_americans_to_vote_by_
  +0.8317     3   broockman_support_right_to_work_laws__na
  +0.8217     5   broockman_oppose_increasing_funding_for_border_secur
  +0.8035     5   broockman_support_increasing_defense_spending__na
  +0.8019     4   broockman_support_requiring_background_checks_for_gu
  +0.5875     3   broockman_oppose_increasing_funding_for_renewable_en
  +0.5494     4   broockman_oppose_requiring_background_checks_for_gun
  +0.4869     5   broockman_oppose_increasing_the_federal_minimum_wage
  +0.3812     4   broockman_oppose_making_it_easier_to_drill_for_oil_a
  +0.3447     4   broockman_support_legalizing_marijuana__na
  +0.2377     3   broockman_oppose_banning_cash_bail__na
  +0.2163     5   broockman_oppose_legalizing_marijuana__na
  +0.2140     7   broockman_support_making_abortion_legal_in_all_cases
  +0.1548     5   broockman_support_reducing_police_funding_in_order_t
  +0.1424     5   broockman_oppose_increasing_legal_immigration__na
  +0.0818     4   broockman_oppose_increasing_defense_spending__na
  +0.0800     5   broockman_support_the_dream_act__na
  +0.0468     4   broockman_support_increasing_taxes_on_high_earning_a
  -0.2822     7   broockman_oppose_making_abortion_legal_in_all_cases_
  -0.3879     5   broockman_oppose_the_dream_act__na
  -0.3944     5   broockman_oppose_reducing_police_funding_in_order_to
  -0.4815     5   broockman_support_increasing_funding_for_border_secu
  -0.5592     5   broockman_oppose_cancelling_student_loan_debt__na
  -0.5896     6   broockman_support_cancelling_student_loan_debt__na
  -0.5974     3   broockman_support_requiring_transgender_individuals_
  -0.6549     3   broockman_support_requiring_transgender_athletes_to_
  -0.7656     5   broockman_support_increasing_the_federal_minimum_wag
  -0.7836     4   broockman_support_increasing_legal_immigration__na
  -0.8286     3   broockman_oppose_requiring_transgender_athletes_to_c
  -0.8819     3   broockman_support_allowing_medicare_to_negotiate_dru
  -0.9644     3   broockman_support_allowing_people_to_carry_concealed
  -0.9864     4   broockman_support_making_it_easier_to_drill_for_oil_
  -0.9918     3   broockman_support_increasing_funding_for_renewable_e

predictions.csv  172 rows
