
study            broockman
records          336
answers used     1,372
cells scored     42
arms             172
------------------------------------------------------------
OUR structured r +0.3684
gpt-4 published  +0.1999
human experts    +0.2546
------------------------------------------------------------
CONTAMINATION DIAGNOSTICS   units: rescaled 0-1 outcome
  median |pred - truth|   0.0266
  arms within 0.25         170/172
  arms within 0.05         126/172
  mean |pred|             0.0398
  mean |truth|            0.0489
  implied slope           0.812   (1.0 = same spread; >1 = we overshoot)
------------------------------------------------------------
per cell    r      arms  cell_id
  +0.9978     3   broockman_support_right_to_work_laws__na
  +0.9926     3   broockman_support_increasing_funding_for_renewable_e
  +0.9920     3   broockman_oppose_right_to_work_laws__na
  +0.9855     3   broockman_oppose_banning_cash_bail__na
  +0.9777     3   broockman_oppose_allowing_people_to_carry_concealed_
  +0.9755     4   broockman_oppose_allowing_medicare_to_negotiate_drug
  +0.9691     3   broockman_oppose_allowing_all_americans_to_vote_by_m
  +0.9522     5   broockman_oppose_increasing_funding_for_border_secur
  +0.9492     3   broockman_support_requiring_transgender_individuals_
  +0.9383     4   broockman_oppose_increasing_defense_spending__na
  +0.9124     4   broockman_oppose_lowering_the_medicare_eligibility_a
  +0.7981     5   broockman_oppose_legalizing_marijuana__na
  +0.7969     3   broockman_oppose_increasing_funding_for_renewable_en
  +0.7364     3   broockman_support_lowering_the_medicare_eligibility_
  +0.7274     6   broockman_support_cancelling_student_loan_debt__na
  +0.6703     3   broockman_oppose_requiring_transgender_individuals_t
  +0.6186     5   broockman_support_increasing_funding_for_border_secu
  +0.5278     5   broockman_support_increasing_defense_spending__na
  +0.5194     4   broockman_support_legalizing_marijuana__na
  +0.4730     5   broockman_oppose_increasing_the_federal_minimum_wage
  +0.4713     7   broockman_support_making_abortion_legal_in_all_cases
  +0.4364     3   broockman_support_allowing_people_to_carry_concealed
  +0.4241     5   broockman_oppose_the_dream_act__na
  +0.3479     4   broockman_oppose_requiring_background_checks_for_gun
  +0.2980     4   broockman_oppose_making_it_easier_to_drill_for_oil_a
  +0.2970     3   broockman_support_allowing_medicare_to_negotiate_dru
  +0.2298     4   broockman_support_making_it_easier_to_drill_for_oil_
  +0.2122     7   broockman_oppose_making_abortion_legal_in_all_cases_
  +0.1341     3   broockman_oppose_increasing_taxes_on_high_earning_am
  +0.0428     5   broockman_oppose_increasing_legal_immigration__na
  +0.0034     4   broockman_support_allowing_all_americans_to_vote_by_
  -0.0126     4   broockman_support_increasing_legal_immigration__na
  -0.0567     5   broockman_support_reducing_police_funding_in_order_t
  -0.1718     3   broockman_support_banning_cash_bail__na
  -0.2413     5   broockman_oppose_reducing_police_funding_in_order_to
  -0.2549     4   broockman_support_increasing_taxes_on_high_earning_a
  -0.2786     5   broockman_oppose_cancelling_student_loan_debt__na
  -0.3102     3   broockman_support_requiring_transgender_athletes_to_
  -0.3275     5   broockman_support_the_dream_act__na
  -0.6739     5   broockman_support_increasing_the_federal_minimum_wag
  -0.7778     3   broockman_oppose_requiring_transgender_athletes_to_c
  -0.8277     4   broockman_support_requiring_background_checks_for_gu

predictions.csv  172 rows
